minute,reserve0,reserve1
2025-01-01 06:56:00.000 UTC,23381609772018,7021995978654621036135
2025-01-01 06:57:00.000 UTC,23382076677358,7021856180475752899713
2025-01-01 06:58:00.000 UTC,23382632175816,7021689863500074726295
2025-01-01 06:59:00.000 UTC,23385584147389,7020806171535069933291
2025-01-01 07:00:00.000 UTC,23385759147389,7020753791145371082813
2025-01-01 07:01:00.000 UTC,23385969260461,7020691060558640230041
2025-01-01 07:02:00.000 UTC,23383803531972,7021343348170560150363
2025-01-01 07:03:00.000 UTC,23383914177175,7021310386308014947339
2025-01-01 07:04:00.000 UTC,23384351398812,7021179501371173306643
2025-01-01 07:05:00.000 UTC,23384570904066,7021113792991434365909
2025-01-01 07:06:00.000 UTC,23385144624355,7020942056988591076315
2025-01-01 07:07:00.000 UTC,23386190434917,7020629028301631840827
2025-01-01 07:08:00.000 UTC,23386388684917,7020569691897036311560
2025-01-01 07:09:00.000 UTC,23382869852768,7021629379699408657719
2025-01-01 07:10:00.000 UTC,23382987907283,7021594035702319546112
2025-01-01 07:12:00.000 UTC,23382343577459,7021788605370488221926
2025-01-01 07:14:00.000 UTC,23381632165045,7022003419339977035545
2025-01-01 07:15:00.000 UTC,23381118873455,7022158039008322455286
2025-01-01 07:16:00.000 UTC,23381216401815,7022128835866135845961
2025-01-01 07:21:00.000 UTC,23380805426579,7022252795428486860977
2025-01-01 07:22:00.000 UTC,23380940902120,7022212228648677111564
2025-01-01 07:24:00.000 UTC,23381140690287,7022152404960328696467
2025-01-01 07:25:00.000 UTC,23381183968979,7022139445914104308715
2025-01-01 07:26:00.000 UTC,23380612548218,7022311582990036125389
2025-01-01 07:27:00.000 UTC,23380715149285,7022280859585037270909
2025-01-01 07:29:00.000 UTC,23380745362007,7022271818801324823072
2025-01-01 07:30:00.000 UTC,23380183754729,7022441005917452212580
2025-01-01 07:31:00.000 UTC,23380622926975,7022309494914162185105
2025-01-01 07:35:00.000 UTC,23380793985266,7022259136862753273243
2025-01-01 07:37:00.000 UTC,23381322331429,7022100931380707845629
2025-01-01 07:38:00.000 UTC,23381618331429,7022012301658872925721
2025-01-01 07:39:00.000 UTC,23384977895348,7021006521976572620963
2025-01-01 07:40:00.000 UTC,23388491949321,7019954800085673760042
2025-01-01 07:41:00.000 UTC,23387502392375,7020252717646906404459
2025-01-01 07:42:00.000 UTC,23387677843848,7020200210571388288095
2025-01-01 07:43:00.000 UTC,23390677843848,7019302527013470637031
2025-01-01 07:44:00.000 UTC,23391407995433,7019087805554470739055
2025-01-01 07:45:00.000 UTC,23391055727933,7019193923846912856527
2025-01-01 07:46:00.000 UTC,23391855727933,7018954587998009643312
2025-01-01 07:47:00.000 UTC,23392387997953,7018795357935574733995
2025-01-01 07:48:00.000 UTC,23393887997953,7018346667641861374217
2025-01-01 07:51:00.000 UTC,23395886398273,7017748981656683793344
2025-01-01 07:52:00.000 UTC,23396281310325,7017630882564497999019
2025-01-01 07:53:00.000 UTC,23396661265642,7017517260066222940327
2025-01-01 07:54:00.000 UTC,23396811567966,7017472314415288799034
2025-01-01 07:55:00.000 UTC,23398540013674,7016955490126145885895
2025-01-01 07:57:00.000 UTC,23398634803012,7016927149277133560713
2025-01-01 07:58:00.000 UTC,23399186033012,7016762342809193318558
2025-01-01 08:00:00.000 UTC,23399386033012,7016702548828058145912
2025-01-01 08:01:00.000 UTC,23402416533013,7015796843468847781649
2025-01-01 08:02:00.000 UTC,23401614533013,7016038006310843416574
2025-01-01 08:04:00.000 UTC,23404614533013,7015141389204980396916
2025-01-01 08:05:00.000 UTC,23404870554485,7015064882103654114444
2025-01-01 08:06:00.000 UTC,23405170554485,7014975234989909090356
2025-01-01 08:07:00.000 UTC,23405270554485,7014945353128972471870
2025-01-01 08:08:00.000 UTC,23401953804393,7015942570341711613869
2025-01-01 08:09:00.000 UTC,23405025809232,7015024461641760158636
2025-01-01 08:10:00.000 UTC,23405132159767,7014992681711837860369
2025-01-01 08:12:00.000 UTC,23405132162159,7014992680997057751833
2025-01-01 08:15:00.000 UTC,23404921719618,7015055945253669306189
2025-01-01 08:17:00.000 UTC,23402343028220,7015831436485925350727
2025-01-01 08:18:00.000 UTC,23402786394152,7015699131355862488450
2025-01-01 08:19:00.000 UTC,23401783894152,7016000578528263380220
2025-01-01 08:20:00.000 UTC,23403127239422,7015599075572149985753
2025-01-01 08:21:00.000 UTC,23403124138139,7015600188180903751003
2025-01-01 08:22:00.000 UTC,23403644358735,7015444711928633388354
2025-01-01 08:23:00.000 UTC,23403544578886,7015474711928633388354
2025-01-01 08:24:00.000 UTC,23402811163345,7015695916045820725270
2025-01-01 08:25:00.000 UTC,23403729892366,7015421336416847130607
2025-01-01 08:26:00.000 UTC,23405529892366,7014883434558059902120
2025-01-01 08:28:00.000 UTC,23398176764908,7017094570257288228595
2025-01-01 08:31:00.000 UTC,23393145713379,7018608244116577093328
2025-01-01 08:34:00.000 UTC,23393245213379,7018578480974770037530
2025-01-01 08:36:00.000 UTC,23393344713379,7018548718085769113976
2025-01-01 08:37:00.000 UTC,23396344713379,7017651463085115735560
2025-01-01 08:39:00.000 UTC,23396718822969,7017539588649010059319
2025-01-01 08:40:00.000 UTC,23397195759515,7017396969827874845443
2025-01-01 08:42:00.000 UTC,23397365904515,7017346092600359722614
2025-01-01 08:43:00.000 UTC,23397655749494,7017259424056154445477
2025-01-01 08:45:00.000 UTC,23397908423860,7017183871902358679961
2025-01-01 08:48:00.000 UTC,23391873024659,7018999842035415502205
2025-01-01 08:49:00.000 UTC,23391952224659,7018976148541455128364
2025-01-01 08:51:00.000 UTC,23392249273766,7018887284674234745089
2025-01-01 08:54:00.000 UTC,23392349273766,7018857369633933883796
2025-01-01 08:59:00.000 UTC,23392649273766,7018767626044165234815
2025-01-01 09:00:00.000 UTC,23393043216134,7018649971586377303140
2025-01-01 09:02:00.000 UTC,23394236826134,7018292943523311678897
2025-01-01 09:03:00.000 UTC,23394547833233,7018199922242720312922
2025-01-01 09:04:00.000 UTC,23385613534317,7020889241459878797810
2025-01-01 09:08:00.000 UTC,23385188570915,7021018284282525969490
2025-01-01 09:11:00.000 UTC,23385239235840,7021003279808856826863
2025-01-01 09:12:00.000 UTC,23386881729174,7020511664141771798420
2025-01-01 09:13:00.000 UTC,23388881729174,7019913136002993531578
2025-01-01 09:14:00.000 UTC,23383394486118,7021565502939669009582
2025-01-01 09:16:00.000 UTC,23383536449661,7021523002271853045760
2025-01-01 09:17:00.000 UTC,23383631969661,7021494406038444668732
2025-01-01 09:18:00.000 UTC,23383731969661,7021464468858093326562
2025-01-01 09:20:00.000 UTC,23363668603568,7027512261626636974404
2025-01-01 09:21:00.000 UTC,23362666103568,7027814721964458033415
2025-01-01 09:22:00.000 UTC,23362234956291,7027944809715407954868
2025-01-01 09:24:00.000 UTC,23349850725941,7031683506706016205236
2025-01-01 09:25:00.000 UTC,23349830375394,7031690323099020520976
2025-01-01 09:26:00.000 UTC,23349596747324,7031760891489974205790
